"Season","Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"2002","Barry Bonds","Giants","612","32.4 %","7.7 %","4.21",".370",".582",".799","1.381",".429","3.9",".330","-5.0","0.9","184","110.0",".544","244","1109"
"2004","Barry Bonds","Giants","617","37.6 %","6.6 %","5.66",".362",".609",".812","1.422",".450","4.0",".310","-3.3","0.6","184","108.0",".537","233","1109"
"2001","Barry Bonds","Giants","664","26.7 %","14.0 %","1.90",".328",".515",".863","1.379",".536","4.1",".266"," ","1.3","200","117.7",".537","234","1109"
"2003","Barry Bonds","Giants","550","26.9 %","10.5 %","2.55",".341",".529",".749","1.278",".408","3.9",".304","-1.9","1.3","148","80.5",".503","212","1109"
"2000","Manny Ramirez","Indians","532","16.2 %","22.0 %","0.74",".351",".457",".697","1.154",".346","2.7",".403"," ","-0.2","133","63.0",".477","182","210"
"2000","Todd Helton","Rockies","697","14.8 %","8.8 %","1.69",".372",".463",".698","1.162",".326","3.6",".357"," ","-0.3","174","82.4",".476","162","432"
"2000","Carlos Delgado","Blue Jays","711","17.3 %","14.6 %","1.18",".344",".470",".664","1.134",".320","1.8",".362"," ","-0.4","174","81.0",".471","179","1297"
"2000","Jason Giambi","Athletics","664","20.6 %","14.5 %","1.43",".333",".476",".647","1.123",".314","2.5",".335"," ","0.5","163","75.5",".471","183","818"
"2001","Jason Giambi","Athletics","671","19.2 %","12.4 %","1.55",".342",".477",".660","1.137",".317","2.8",".343"," ","0.3","162","78.3",".465","193","818"
"2001","Sammy Sosa","Cubs","711","16.3 %","21.5 %","0.76",".328",".437",".737","1.174",".409","3.6",".336"," ","-0.9","171","82.7",".465","186","302"
"2003","Albert Pujols","Cardinals","685","11.5 %","9.5 %","1.22",".359",".439",".667","1.106",".308","3.6",".346","6.0","0.4","160","76.4",".461","184","1177"
"2001","Larry Walker","Rockies","601","13.6 %","17.1 %","0.80",".350",".449",".662","1.111",".312","5.0",".374"," ","0.6","142","67.9",".461","163","455"
"2002","Jim Thome","Indians","613","19.9 %","22.7 %","0.88",".304",".445",".677","1.122",".373","2.2",".319","-2.1","-0.7","142","68.3",".461","189","409"
"2002","Manny Ramirez","Red Sox","518","14.1 %","16.4 %","0.86",".349",".450",".647","1.097",".298","1.2",".373","-5.4","0.0","119","57.1",".459","185","210"
"2008","Albert Pujols","Cardinals","641","16.2 %","8.4 %","1.93",".357",".462",".653","1.114",".296","2.6",".340","-1.7","-0.4","146","69.1",".459","184","1177"
"2001","Todd Helton","Rockies","697","14.1 %","14.9 %","0.94",".336",".432",".685","1.116",".349","3.7",".337"," ","-0.8","163","76.7",".457","160","432"
"2000","Barry Bonds","Giants","607","19.3 %","12.7 %","1.52",".306",".440",".688","1.127",".381","5.5",".271"," ","0.9","141","61.0",".456","174","1109"
"2004","Todd Helton","Rockies","683","18.6 %","10.5 %","1.76",".347",".469",".620","1.088",".272","3.3",".352","2.8","0.4","156","71.6",".454","166","432"
"2001","Luis Gonzalez","Diamondbacks","728","13.7 %","11.4 %","1.20",".325",".429",".688","1.117",".363","3.5",".297"," ","-0.3","168","77.8",".454","173","55"
"2003","Todd Helton","Rockies","703","15.8 %","10.2 %","1.54",".358",".458",".630","1.088",".271","3.3",".363","2.9","-1.9","160","73.6",".453","163","432"
"2000","Gary Sheffield","Dodgers","612","16.5 %","11.6 %","1.42",".325",".438",".643","1.081",".317","3.0",".305"," ","-1.9","139","58.8",".451","173","114"
"2006","Travis Hafner","Indians","564","17.7 %","19.7 %","0.90",".308",".439",".659","1.097",".350","1.8",".323","-2.6","-0.2","128","57.1",".450","176","1573"
"2007","David Ortiz","Red Sox","667","16.6 %","15.4 %","1.08",".332",".445",".621","1.066",".290","3.0",".355","-4.7","-0.5","149","66.2",".449","175","745"
"2009","Albert Pujols","Cardinals","700","16.4 %","9.1 %","1.80",".327",".443",".658","1.101",".331","4.1",".299","2.7","1.1","152","68.5",".447","180","1177"
"2006","Albert Pujols","Cardinals","634","14.5 %","7.9 %","1.84",".331",".431",".671","1.102",".340","3.5",".292","1.7","0.3","142","62.6",".447","174","1177"
"2008","Chipper Jones","Braves","534","16.9 %","11.4 %","1.48",".364",".470",".574","1.044",".210","3.3",".383","-0.5","0.3","116","51.7",".445","174","97"
"2010","Josh Hamilton","Rangers","571","7.5 %","16.6 %","0.45",".359",".411",".633","1.044",".274","4.7",".390","4.4","0.7","122","56.8",".445","175","1875"
"2007","Alex Rodriguez","Yankees","708","13.4 %","16.9 %","0.79",".314",".422",".645","1.067",".331","5.0",".309","5.7","2.4","155","67.5",".445","175","1274"
"2002","Brian Giles","Pirates","644","21.0 %","11.5 %","1.82",".298",".450",".622","1.072",".324","4.7",".282","-0.5","0.4","140","62.7",".444","174","990"
"2005","Derrek Lee","Cubs","691","12.3 %","15.8 %","0.78",".335",".418",".662","1.080",".327","5.0",".343","-2.4","1.5","150","67.4",".444","170","525"
"2011","Jose Bautista","Blue Jays","655","20.2 %","16.9 %","1.19",".302",".447",".608","1.056",".306","3.5",".309","2.7","-0.9","139","65.6",".443","182","1887"
"2004","Albert Pujols","Cardinals","692","12.1 %","7.5 %","1.62",".331",".415",".657","1.072",".326","3.6",".298","5.1","-1.3","151","65.3",".442","171","1177"
"2000","Frank Thomas","White Sox","707","15.8 %","13.3 %","1.19",".328",".436",".625","1.061",".297","1.6",".327"," ","-1.1","155","61.7",".441","160","255"
"2002","Jason Giambi","Yankees","689","15.8 %","16.3 %","0.97",".314",".435",".598","1.034",".284","2.7",".328","-5.4","-0.5","148","64.9",".440","175","818"
"2001","Lance Berkman","Astros","688","13.4 %","17.6 %","0.76",".331",".430",".620","1.051",".289","4.0",".367"," ","-2.5","151","65.5",".440","164","548"
"2000","Vladimir Guerrero","Expos","641","9.0 %","11.5 %","0.78",".345",".410",".664","1.074",".319","5.1",".335"," ","-2.7","139","55.1",".439","160","778"
"2009","Joe Mauer","Twins","606","12.5 %","10.4 %","1.21",".365",".444",".587","1.031",".222","3.1",".373","-1.5","-0.1","127","54.8",".438","170","1857"
"2007","Magglio Ordonez","Tigers","679","11.2 %","11.6 %","0.96",".363",".434",".595","1.029",".232","2.9",".381","-1.2","-0.3","145","61.0",".438","170","248"
"2010","Joey Votto","Reds","648","14.0 %","19.3 %","0.73",".324",".424",".600","1.024",".276","4.5",".361","-1.3","0.6","135","60.5",".438","172","4314"
"2011","Miguel Cabrera","Tigers","688","15.7 %","12.9 %","1.21",".344",".448",".586","1.033",".241","2.1",".365","-2.8","-0.8","143","66.1",".437","177","1744"
"2006","Ryan Howard","Phillies","704","15.3 %","25.7 %","0.60",".313",".425",".659","1.084",".346","1.3",".356","-3.3","-0.3","151","63.0",".436","162","2154"
"2006","Manny Ramirez","Red Sox","558","17.9 %","18.3 %","0.98",".321",".439",".619","1.058",".298","1.5",".341","-3.2","-0.7","120","49.8",".436","163","210"
"2004","Jim Edmonds","Cardinals","612","16.5 %","24.5 %","0.67",".301",".418",".643","1.061",".341","4.4",".344","-0.4","0.2","131","54.8",".436","168","1153"
"2005","Alex Rodriguez","Yankees","715","12.7 %","19.4 %","0.65",".321",".421",".610","1.031",".289","4.6",".347","-2.5","1.4","151","65.0",".436","174","1274"
"2000","Moises Alou","Astros","517","10.1 %","8.7 %","1.16",".355",".416",".623","1.039",".269","2.9",".338"," ","-0.7","111","42.7",".436","154","261"
"2000","Jeff Bagwell","Astros","719","14.9 %","16.1 %","0.92",".310",".424",".615","1.039",".305","4.2",".313"," ","-0.9","153","59.0",".435","153","547"
"2007","Chipper Jones","Braves","600","13.7 %","12.5 %","1.09",".337",".425",".604","1.029",".267","4.5",".348","1.7","0.0","126","51.7",".434","163","97"
"2002","Larry Walker","Rockies","553","11.8 %","13.2 %","0.89",".338",".421",".602","1.023",".264","4.5",".353","4.7","-0.9","115","49.0",".433","150","455"
"2008","Manny Ramirez","- - -","654","13.3 %","19.0 %","0.70",".332",".430",".601","1.031",".270","3.0",".370","-2.2","0.1","135","56.7",".432","165","210"
"2005","Albert Pujols","Cardinals","700","13.9 %","9.3 %","1.49",".330",".430",".609","1.039",".279","5.1",".316","3.0","2.1","145","61.5",".432","167","1177"
"2000","Nomar Garciaparra","Red Sox","599","10.2 %","8.3 %","1.22",".372",".434",".599","1.033",".227","4.1",".378"," ","0.2","126","47.5",".432","154","190"
"2010","Miguel Cabrera","Tigers","648","13.7 %","14.7 %","0.94",".328",".420",".622","1.042",".294","2.8",".336","1.7","-1.1","132","57.1",".431","171","1744"
"2000","Jeff Kent","Giants","695","12.9 %","15.4 %","0.84",".334",".424",".596","1.021",".262","4.9",".357"," ","-1.6","146","54.8",".431","158","1119"
"2007","Carlos Pena","Devil Rays","612","16.8 %","23.2 %","0.73",".282",".411",".627","1.037",".345","2.3",".297","-2.5","-0.3","127","51.3",".431","167","934"
"2003","Gary Sheffield","Braves","678","12.7 %","8.1 %","1.56",".330",".419",".604","1.023",".274","5.2",".308","2.4","1.8","142","58.5",".431","162","114"
"2000","Alex Rodriguez","Mariners","672","14.9 %","18.0 %","0.83",".316",".420",".606","1.026",".291","5.1",".333"," ","1.3","141","52.7",".431","158","1274"
"2000","Brian Giles","Pirates","688","16.6 %","10.0 %","1.65",".315",".432",".594","1.026",".279","5.0",".305"," ","1.3","144","53.8",".430","154","990"
"2004","Lance Berkman","Astros","687","18.5 %","14.7 %","1.26",".316",".450",".566","1.016",".250","3.6",".339","-3.1","-1.4","143","58.1",".430","161","548"
"2001","Jim Thome","Indians","644","17.2 %","28.7 %","0.60",".291",".416",".624","1.040",".333","1.6",".353"," ","-0.5","136","55.6",".429","167","409"
"2004","J.D. Drew","Braves","645","18.3 %","18.0 %","1.02",".305",".436",".569","1.006",".264","6.2",".340","4.0","0.9","134","54.1",".429","162","1152"
"2007","Matt Holliday","Rockies","713","8.8 %","17.7 %","0.50",".340",".405",".607","1.012",".267","5.2",".377","6.6","-0.1","146","58.2",".428","150","1873"
"2000","Sammy Sosa","Cubs","705","12.9 %","23.8 %","0.54",".320",".406",".634","1.040",".315","3.0",".363"," ","-0.4","146","53.3",".428","154","302"
"2000","Richard Hidalgo","Astros","644","8.7 %","17.1 %","0.51",".314",".391",".636","1.028",".323","5.2",".317"," ","-0.1","133","48.7",".428","149","561"
"2001","Chipper Jones","Braves","677","14.5 %","12.1 %","1.20",".330",".427",".605","1.032",".274","4.1",".330"," ","-2.6","141","57.3",".427","161","97"
"2006","David Ortiz","Red Sox","686","17.3 %","17.1 %","1.02",".287",".413",".636","1.049",".349","2.5",".270","-3.4","-0.1","142","56.0",".427","157","745"
